CustomerID,ReportedFraud,KNN
Cust28465,0,0.9560000000000001
Cust20319,0,0.9359999999999999
Cust3683,1,0.958
Cust29385,0,0.984
Cust34403,0,0.96
Cust1890,0,0.9199999999999999
Cust2807,1,0.9099999999999999
Cust33822,0,0.9179999999999999
Cust23669,0,0.8920000000000001
Cust32761,0,0.946
Cust5135,1,0.9279999999999999
Cust17713,0,0.96
Cust8266,0,0.924
Cust30303,0,0.924
Cust16417,0,0.966
Cust26913,0,0.954
Cust5342,1,0.866
Cust37142,0,0.9739999999999999
Cust27895,0,0.968
Cust10560,0,0.96
Cust17093,0,0.9280000000000002
Cust31236,0,0.968
Cust30447,0,0.9879999999999999
Cust21052,0,0.984
Cust2595,1,0.852
Cust26898,0,0.966
Cust26588,0,0.968
Cust11148,0,0.924
Cust37194,0,0.9739999999999999
Cust26376,0,0.884
Cust8061,1,0.9560000000000001
Cust6073,1,0.9199999999999999
Cust10569,0,0.982
Cust15690,0,0.9119999999999999
Cust23716,0,0.968
Cust33766,0,0.884
Cust26441,0,0.9399999999999998
Cust36210,0,0.914
Cust19194,0,0.9620000000000001
Cust29379,0,0.976
Cust36822,0,0.986
Cust8362,0,0.976
Cust24996,0,0.97
Cust23713,0,0.9040000000000001
Cust22044,1,0.95
Cust6056,1,0.994
Cust24902,0,0.924
Cust26507,0,0.9559999999999998
Cust32295,0,0.978
Cust18943,0,0.944
Cust32881,0,0.9640000000000001
Cust5500,1,0.8979999999999999
Cust12509,0,0.9460000000000001
Cust16886,0,0.954
Cust8592,0,0.986
Cust32233,0,0.858
Cust8745,0,0.954
Cust29657,0,0.9879999999999999
Cust13376,0,0.976
Cust4053,1,0.96
Cust3324,1,0.982
Cust15711,0,0.952
Cust10671,0,0.944
Cust31903,0,0.924
Cust4798,1,0.9560000000000001
Cust4888,1,0.9
Cust19632,0,0.9239999999999998
Cust37997,0,0.8960000000000001
Cust17684,0,0.9199999999999999
Cust9833,0,0.852
Cust35153,0,0.982
Cust32813,0,0.982
Cust20609,0,0.944
Cust10660,0,0.958
Cust21062,0,0.982
Cust21031,0,0.986
Cust17843,0,0.942
Cust16253,0,0.9640000000000001
Cust11008,0,0.9520000000000002
Cust32078,0,0.99
Cust1406,0,0.9559999999999998
Cust33207,0,0.9860000000000001
Cust24095,0,0.9940000000000001
Cust38147,0,0.9560000000000001
Cust28774,0,0.942
Cust32107,0,0.9339999999999999
Cust18341,1,0.89
Cust30049,0,0.95
Cust15881,0,0.96
Cust23074,0,0.998
Cust6321,1,0.898
Cust33989,0,0.96
Cust16890,0,0.976
Cust24301,0,0.9079999999999998
Cust12629,0,0.9339999999999999
Cust30532,0,0.968
Cust6162,1,0.9219999999999999
Cust2661,1,0.962
Cust34063,0,0.916
Cust16157,0,0.958
Cust26798,0,0.9179999999999999
Cust11077,0,0.954
Cust20212,0,0.9720000000000001
Cust19170,0,0.9639999999999999
Cust13773,0,0.974
Cust11616,0,0.9719999999999999
Cust17854,1,0.9559999999999998
Cust10958,0,0.954
Cust13210,0,0.9460000000000001
Cust2439,1,0.9640000000000001
Cust29356,0,0.89
Cust25166,0,0.966
Cust21050,0,0.9880000000000001
Cust19881,0,0.9099999999999999
Cust35212,0,0.9380000000000001
Cust25929,0,0.954
Cust26684,0,0.9339999999999999
Cust12853,0,0.836
Cust1130,1,0.952
Cust17162,0,0.944
Cust24430,0,0.952
Cust4328,1,0.8880000000000001
Cust25237,0,0.982
Cust16616,0,0.958
Cust15797,0,0.986
Cust18408,1,0.9480000000000001
Cust13782,0,0.974
Cust33819,0,0.9780000000000001
Cust13704,0,0.9359999999999999
Cust29446,0,0.9440000000000002
Cust30013,0,0.9339999999999999
Cust35253,0,0.8799999999999999
Cust22314,1,0.95
Cust8990,0,0.9099999999999999
Cust3170,1,0.95
Cust39163,1,0.776
Cust17401,0,0.978
Cust13682,0,0.976
Cust17885,0,0.984
Cust33811,0,0.9659999999999999
Cust24890,0,0.958
Cust34070,0,0.982
Cust8948,0,0.8879999999999999
Cust14867,0,0.976
Cust31896,0,0.962
Cust26550,0,0.96
Cust27833,0,0.952
Cust14510,0,0.908
Cust14809,0,0.9720000000000001
Cust10866,0,0.966
Cust28235,0,0.9719999999999999
Cust16129,0,0.95
Cust38521,0,0.962
Cust14221,1,0.958
Cust13232,0,0.9179999999999999
Cust13074,0,0.9560000000000001
Cust34675,0,0.898
Cust10918,0,0.8719999999999999
Cust13239,0,0.946
Cust16339,0,0.8640000000000001
Cust32283,0,0.9259999999999999
Cust25669,0,0.9719999999999999
Cust13983,0,0.968
Cust34597,0,0.95
Cust29045,0,0.876
Cust1210,0,0.968
Cust22511,1,0.932
Cust20011,0,0.982
Cust28548,0,0.9559999999999998
Cust28372,0,0.9960000000000001
Cust26669,0,0.9380000000000001
Cust25520,0,0.9799999999999999
Cust25694,0,0.9700000000000001
Cust35982,0,0.968
Cust36345,0,0.974
Cust12959,0,0.984
Cust11021,0,0.898
Cust28895,0,0.8960000000000001
Cust9542,0,0.9219999999999999
Cust15432,0,0.974
Cust29051,0,0.9700000000000001
Cust6308,1,0.9259999999999999
Cust8082,1,0.932
Cust8654,0,0.9800000000000001
Cust16087,0,0.9879999999999999
Cust24866,0,0.9560000000000001
Cust26891,0,0.954
Cust33411,0,0.99
Cust31661,0,0.952
Cust23316,0,0.984
Cust20014,0,0.9440000000000002
Cust10909,0,0.982
Cust9786,0,0.986
Cust18031,1,0.9199999999999999
Cust9183,0,0.9099999999999999
Cust33154,0,0.992
Cust23081,0,0.974
Cust1335,0,0.9259999999999999
Cust35622,0,0.974
Cust33471,0,0.952
Cust34450,0,0.892
Cust24783,0,0.97
Cust25938,0,0.966
Cust28184,0,0.96
Cust17102,0,0.966
Cust31521,0,0.9640000000000001
Cust30538,0,0.9119999999999999
Cust1931,1,0.946
Cust21482,0,0.844
Cust28638,0,0.974
Cust4290,0,0.826
Cust2348,1,0.9559999999999998
Cust12958,0,0.9880000000000001
Cust12546,0,0.908
Cust36951,0,0.958
Cust1816,0,0.9640000000000001
Cust7271,1,0.9460000000000001
Cust9822,0,0.986
Cust27037,0,0.9640000000000001
Cust24184,0,0.876
Cust25524,0,0.9480000000000001
Cust14731,0,0.93
Cust17219,0,0.9960000000000001
Cust7066,1,0.9199999999999999
Cust8961,0,0.9179999999999999
Cust16152,0,0.95
Cust8727,0,0.9259999999999999
Cust11713,0,0.868
Cust30139,0,0.97
Cust13770,0,0.97
Cust38565,0,0.978
Cust26977,0,0.8780000000000001
Cust20904,0,0.932
Cust15393,0,0.968
Cust2870,1,0.9640000000000001
Cust15354,0,0.9720000000000001
Cust24003,0,0.96
Cust3239,1,0.908
Cust32493,0,0.966
Cust5534,1,0.916
Cust6823,1,0.942
Cust27591,0,0.9099999999999999
Cust12688,0,0.9640000000000001
Cust29973,0,0.932
Cust11890,0,0.97
Cust37421,0,0.944
Cust4732,1,0.978
Cust3105,1,0.942
Cust21684,0,0.9739999999999999
Cust8989,0,0.924
Cust20932,0,0.986
Cust17120,0,0.844
Cust15048,0,0.962
Cust12475,0,0.96
Cust15851,0,0.9559999999999998
Cust23699,0,0.922
Cust12990,0,0.966
Cust25712,0,0.9460000000000001
Cust2615,1,0.932
Cust35731,0,0.9620000000000001
Cust21121,0,0.96
Cust28694,0,0.978
Cust32072,0,0.9259999999999999
Cust19586,0,0.9479999999999998
Cust35421,0,0.984
Cust18328,1,0.9079999999999998
Cust35094,0,0.898
Cust3474,1,0.9620000000000001
Cust5221,1,0.9179999999999999
Cust23590,0,0.9179999999999999
Cust2293,1,0.992
Cust12210,0,0.9359999999999999
Cust38025,0,0.992
Cust26510,0,0.924
Cust31789,0,0.9920000000000002
Cust23583,0,0.976
Cust5708,1,0.916
Cust24711,0,0.9799999999999999
Cust30121,0,0.9280000000000002
Cust38381,0,0.998
Cust28438,0,0.9179999999999999
Cust36674,0,0.9280000000000002
Cust35076,0,0.958
Cust12243,0,0.95
Cust35729,0,0.898
Cust31858,0,0.9780000000000001
Cust12519,0,0.984
Cust26616,0,0.986
Cust31883,0,0.958
Cust3918,1,0.9639999999999999
Cust30325,0,0.96
Cust1074,0,0.9800000000000001
Cust24484,0,0.944
Cust33736,0,0.924
Cust27973,0,0.9560000000000001
Cust25512,0,0.95
Cust18801,1,0.95
Cust25509,0,0.906
Cust36628,0,0.9339999999999999
Cust25875,0,0.9099999999999999
Cust9207,0,0.9120000000000001
Cust26113,0,0.974
Cust5587,1,0.922
Cust26454,0,0.968
Cust20644,0,0.974
Cust15425,0,0.922
Cust29874,0,0.968
Cust25325,0,0.9899999999999999
Cust10879,0,0.97
Cust25505,0,0.958
Cust21864,0,0.9640000000000001
Cust12200,0,0.986
Cust33770,0,0.8160000000000001
Cust11152,0,0.93
Cust11093,0,0.9099999999999999
Cust1030,0,0.9399999999999998
Cust18687,1,0.914
Cust25745,0,0.986
Cust16134,0,0.978
Cust34316,0,0.9800000000000001
Cust9256,1,0.8780000000000001
Cust22284,1,0.9040000000000001
Cust6822,1,0.942
Cust38825,0,0.982
Cust12607,0,0.9560000000000001
Cust13652,0,0.95
Cust19471,0,0.9019999999999999
Cust32765,0,0.9460000000000001
Cust9658,0,0.976
Cust27364,0,0.99
Cust26995,0,0.952
Cust12015,0,0.97
Cust10609,0,0.9800000000000001
